Question,Option A,Option B,Option C,Option D,Correct
A(n) _______ is a block of code which only runs when it is called,Array,Method,Class,Object ,B
A symbolic name for a set of values (months or years),Constant,Concatenation,Stack,Enumeration,D
Final is a keyword defining an entity that cannot be _______ nor derived from later,Deleted,Blocked,Changed ,Dancing,C
Methods use parameters and _______ ,Arguments,Continue,Default,Downcast,A
Use _______ to make an int into a double,Separating,Rewrite the variable,Casting,None of the above,C
Missing Part 1 ,getCode;,getCode(code);,getCode();,None of the above,C
Missing Part 3,showResults,showResults(),result,None of the above,A
Missing Part 5,int,String,boolean,double ,B
Missing Part 7,3;,passCount;,return 3;,return passCount;,D
Missing Part 9,int numTests,3,numTests,None of the above,A